mjd	why	night_mjd	sequence
60323.106944444444	cadence	60323	Euclid_g
60324.05763888889	cadence	60324	ECDFS_g
60324.27013888889	cadence	60324	COSMOS_g
60325.05763888889	postgap	60325	XMM-LSS_g
60325.106944444444	pregap	60325	Euclid_g
60326.11388888889	cadence	60326	ECDFS_g
60326.26875	cadence	60326	COSMOS_g
60327.15138888889	pregap	60327	ECDFS_g
60328.25763888889	cadence	60328	COSMOS_g
60330.25763888889	cadence	60330	COSMOS_g
60331.28888888889	pregap	60331	COSMOS_g
60333.05416666667	bridge	60333	ECDFS_g
60338.23888888889	bridge	60338	COSMOS_g
60340.05069444444	postgap	60340	ECDFS_g
60342.049305555556	cadence	60342	ECDFS_g
60343.14375	postgap	60343	COSMOS_g
60344.04791666667	cadence	60344	ECDFS_g
60344.09722222222	postgap	60344	Euclid_g
60345.19513888889	cadence	60345	COSMOS_g
60346.04652777778	cadence	60346	ECDFS_g
60346.09583333333	cadence	60346	Euclid_g
60347.20763888889	cadence	60347	COSMOS_g
60348.04513888889	cadence	60348	ECDFS_g
60349.044444444444	cadence	60349	Euclid_g
60349.20625	cadence	60349	COSMOS_g
60350.04375	cadence	60350	ECDFS_g
60351.04305555556	cadence	60351	Euclid_g
60351.19513888889	cadence	60351	COSMOS_g
60352.04236111111	cadence	60352	ECDFS_g
60353.041666666664	cadence	60353	Euclid_g
60353.19513888889	cadence	60353	COSMOS_g
60354.040972222225	cadence	60354	ECDFS_g
60355.04027777778	pregap	60355	ECDFS_g
60355.18402777778	cadence	60355	COSMOS_g
60356.03958333333	cadence	60356	Euclid_g
60357.18263888889	cadence	60357	COSMOS_g
60359.2375	cadence	60359	COSMOS_g
60360.27638888889	pregap	60360	COSMOS_g
60367.15277777778	bridge	60367	COSMOS_g
60370.027083333334	postgap	60370	ECDFS_g
60371.05763888889	postgap	60371	COSMOS_g
60372.02569444444	cadence	60372	ECDFS_g
60373.11388888889	cadence	60373	COSMOS_g
60374.02361111111	cadence	60374	ECDFS_g
60375.13263888889	cadence	60375	COSMOS_g
60376.02222222222	cadence	60376	ECDFS_g
60377.13263888889	cadence	60377	COSMOS_g
60379.12152777778	cadence	60379	COSMOS_g
60381.12013888889	cadence	60381	COSMOS_g
60383.1125	cadence	60383	COSMOS_g
60385.12013888889	cadence	60385	COSMOS_g
60387.19513888889	pregap	60387	COSMOS_g
60394.07013888889	bridge	60394	COSMOS_g
60399.001388888886	postgap	60399	COSMOS_g
60401.05902777778	cadence	60401	COSMOS_g
60403.05763888889	cadence	60403	COSMOS_g
60405.05138888889	cadence	60405	COSMOS_g
60407.05	cadence	60407	COSMOS_g
60409.03888888889	cadence	60409	COSMOS_g
60411.03888888889	cadence	60411	COSMOS_g
60413.03888888889	cadence	60413	COSMOS_g
60415.1125	pregap	60415	COSMOS_g
60420.99652777778	bridge	60421	COSMOS_g
60427.98055555556	postgap	60428	COSMOS_g
60429.9875	cadence	60430	COSMOS_g
60431.9875	cadence	60432	COSMOS_g
60433.97708333333	cadence	60434	COSMOS_g
60435.97638888889	cadence	60436	COSMOS_g
60437.975694444445	cadence	60438	COSMOS_g
60439.975	cadence	60440	COSMOS_g
60441.97361111111	cadence	60442	COSMOS_g
60443.972916666666	pregap	60444	COSMOS_g
60449.36388888889	cadence	60449	Elias_S1_g
60449.97152777778	bridge	60450	COSMOS_g
60450.36388888889	pregap	60450	Elias_S1_g
60456.970138888886	postgap	60457	COSMOS_g
60457.37152777778	bridge	60457	Elias_S1_g
60458.96944444445	cadence	60459	COSMOS_g
60460.96944444445	cadence	60461	COSMOS_g
60462.37152777778	postgap	60462	Elias_S1_g
60462.96944444445	cadence	60463	COSMOS_g
60464.37152777778	cadence	60464	Elias_S1_g
60464.96875	cadence	60465	COSMOS_g
60466.37152777778	cadence	60466	Elias_S1_g
60466.96875	cadence	60467	COSMOS_g
60467.37152777778	pregap	60467	Elias_S1_g
60490.37152777778	postgap	60490	Elias_S1_g
60492.37152777778	cadence	60492	Elias_S1_g
60494.37152777778	cadence	60494	Elias_S1_g
60495.37152777778	pregap	60495	XMM-LSS_g
60496.37152777778	cadence	60496	Elias_S1_g
60497.37152777778	cadence	60497	ECDFS_g
60498.37152777778	cadence	60498	Elias_S1_g
60499.37152777778	cadence	60499	ECDFS_g
60500.37152777778	cadence	60500	Elias_S1_g
60501.37152777778	cadence	60501	ECDFS_g
60502.37152777778	cadence	60502	Elias_S1_g
60503.37152777778	cadence	60503	ECDFS_g
60504.37152777778	cadence	60504	Elias_S1_g
60505.37152777778	cadence	60505	ECDFS_g
60506.37152777778	cadence	60506	Elias_S1_g
60507.37152777778	pregap	60507	ECDFS_g
60508.37152777778	cadence	60508	Elias_S1_g
60509.37152777778	pregap	60509	Elias_S1_g
60514.37152777778	bridge	60514	ECDFS_g
60516.37152777778	bridge	60516	Elias_S1_g
60519.35138888889	postgap	60519	Elias_S1_g
60520.37152777778	postgap	60520	ECDFS_g
60521.3	cadence	60521	Elias_S1_g
60521.37152777778	postgap	60521	XMM-LSS_g
60522.37152777778	cadence	60522	ECDFS_g
60523.28888888889	cadence	60523	XMM-LSS_g
60523.33888888889	cadence	60523	Elias_S1_g
60524.37152777778	cadence	60524	ECDFS_g
60525.33263888889	cadence	60525	Elias_S1_g
60526.32013888889	cadence	60526	XMM-LSS_g
60526.37152777778	cadence	60526	ECDFS_g
60527.33125	cadence	60527	Elias_S1_g
60528.32013888889	cadence	60528	XMM-LSS_g
60528.37013888889	cadence	60528	ECDFS_g
60529.32013888889	cadence	60529	Elias_S1_g
60530.30902777778	cadence	60530	XMM-LSS_g
60530.36388888889	cadence	60530	ECDFS_g
60531.32013888889	cadence	60531	Elias_S1_g
60532.30902777778	cadence	60532	XMM-LSS_g
60532.36388888889	cadence	60532	ECDFS_g
60533.30902777778	cadence	60533	Elias_S1_g
60534.30902777778	cadence	60534	XMM-LSS_g
60534.36388888889	cadence	60534	ECDFS_g
60535.30763888889	cadence	60535	Elias_S1_g
